year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2021,MN,5999,440,451,-11,0.07334555759293215,0.07517919653275545,-0.0018336389398233039
2022,MN,6920,415,467,-52,0.05997109826589595,0.06748554913294798,-0.007514450867052023
2023,MN,7986,579,505,74,0.07250187828700225,0.06323566240921613,0.009266215877786126
2024,MN,6644,759,614,145,0.11423841059602649,0.09241420830824805,0.021824202287778448
2025,MN,4274,874,759,115,0.2044922788956481,0.17758540009358914,0.02690687880205896
1998,MO,71,0,0,0,0.0,0.0,0.0
1999,MO,76,1,3,-2,0.013157894736842105,0.039473684210526314,-0.02631578947368421
2000,MO,155,2,4,-2,0.012903225806451613,0.025806451612903226,-0.012903225806451613
2001,MO,193,6,4,2,0.031088082901554404,0.02072538860103627,0.010362694300518135
2002,MO,233,13,8,5,0.055793991416309016,0.034334763948497854,0.02145922746781116
2003,MO,249,14,17,-3,0.05622489959839357,0.06827309236947791,-0.012048192771084338
2004,MO,364,29,7,22,0.07967032967032966,0.019230769230769232,0.06043956043956044
2005,MO,457,44,19,25,0.0962800875273523,0.04157549234135667,0.05470459518599562
2006,MO,569,71,28,43,0.12478031634446397,0.0492091388400703,0.07557117750439367
2007,MO,652,63,53,10,0.09662576687116564,0.08128834355828221,0.015337423312883436
2008,MO,800,82,59,23,0.1025,0.07375,0.02875
2009,MO,944,89,58,31,0.09427966101694915,0.0614406779661017,0.03283898305084746
2010,MO,1099,136,70,66,0.12374886260236578,0.06369426751592357,0.06005459508644222
2011,MO,1276,136,99,37,0.10658307210031348,0.07758620689655173,0.028996865203761754
2012,MO,1471,180,108,72,0.12236573759347383,0.07341944255608429,0.04894629503738953
2013,MO,1675,224,118,106,0.13373134328358208,0.07044776119402985,0.06328358208955225
2014,MO,1904,278,172,106,0.14600840336134455,0.09033613445378151,0.05567226890756303
2015,MO,2131,364,208,156,0.1708118254340685,0.09760675739089629,0.07320506804317221
2016,MO,2326,349,248,101,0.15004299226139295,0.10662080825451418,0.043422184006878764
2017,MO,2555,387,329,58,0.15146771037181997,0.12876712328767123,0.022700587084148727
2018,MO,2948,479,393,86,0.162483039348711,0.13331071913161466,0.029172320217096336
2019,MO,3388,484,440,44,0.14285714285714285,0.12987012987012986,0.012987012987012988
2020,MO,4389,600,439,161,0.1367053998632946,0.10002278423331055,0.03668261562998405
2021,MO,5447,773,524,249,0.14191297962181018,0.09619974297778594,0.045713236644024234
2022,MO,6656,827,680,147,0.12424879807692307,0.10216346153846154,0.02208533653846154
2023,MO,7908,1213,825,388,0.1533889731917046,0.1043247344461305,0.049064238745574106
2024,MO,7048,1571,1181,390,0.22290011350737798,0.16756526674233826,0.055334846765039726
2025,MO,5441,1911,1409,502,0.3512222018011395,0.25895975004594746,0.09226245175519206
1998,MP,1,0,0,0,0.0,0.0,0.0
1999,MP,2,0,0,0,0.0,0.0,0.0
2000,MP,5,1,0,1,0.2,0.0,0.2
2001,MP,5,1,0,1,0.2,0.0,0.2
2002,MP,9,0,0,0,0.0,0.0,0.0
2003,MP,11,0,2,-2,0.0,0.18181818181818182,-0.18181818181818182
2004,MP,16,1,0,1,0.0625,0.0,0.0625
2005,MP,13,1,0,1,0.07692307692307693,0.0,0.07692307692307693
2006,MP,16,1,1,0,0.0625,0.0625,0.0
2007,MP,16,1,0,1,0.0625,0.0,0.0625
2008,MP,15,3,0,3,0.2,0.0,0.2
2009,MP,13,3,2,1,0.23076923076923078,0.15384615384615385,0.07692307692307693
2010,MP,10,0,0,0,0.0,0.0,0.0
2011,MP,13,4,0,4,0.3076923076923077,0.0,0.3076923076923077
2012,MP,21,1,2,-1,0.047619047619047616,0.09523809523809523,-0.047619047619047616
2013,MP,20,0,4,-4,0.0,0.2,-0.2
2014,MP,24,3,3,0,0.125,0.125,0.0
2015,MP,21,4,2,2,0.19047619047619047,0.09523809523809523,0.09523809523809523
2016,MP,24,3,3,0,0.125,0.125,0.0
2017,MP,22,3,4,-1,0.13636363636363635,0.18181818181818182,-0.045454545454545456
2018,MP,27,8,4,4,0.2962962962962963,0.14814814814814814,0.14814814814814814
2019,MP,17,3,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941
2020,MP,15,4,3,1,0.26666666666666666,0.2,0.06666666666666667
2021,MP,23,2,5,-3,0.08695652173913043,0.21739130434782608,-0.13043478260869565
2022,MP,32,2,2,0,0.0625,0.0625,0.0
2023,MP,46,5,2,3,0.10869565217391304,0.043478260869565216,0.06521739130434782
2024,MP,34,1,2,-1,0.029411764705882353,0.058823529411764705,-0.029411764705882353
2025,MP,21,6,1,5,0.2857142857142857,0.047619047619047616,0.23809523809523808
1998,MQ,158,0,0,0,0.0,0.0,0.0
1999,MQ,165,8,12,-4,0.048484848484848485,0.07272727272727272,-0.024242424242424242
2000,MQ,167,14,8,6,0.08383233532934131,0.04790419161676647,0.03592814371257485
2001,MQ,123,9,12,-3,0.07317073170731707,0.0975609756097561,-0.024390243902439025
2002,MQ,148,7,10,-3,0.0472972972972973,0.06756756756756757,-0.02027027027027027
2003,MQ,209,6,8,-2,0.028708133971291867,0.03827751196172249,-0.009569377990430622
2004,MQ,241,24,15,9,0.0995850622406639,0.06224066390041494,0.03734439834024896
2005,MQ,233,25,19,6,0.1072961373390558,0.0815450643776824,0.02575107296137339
2006,MQ,231,20,25,-5,0.08658008658008658,0.10822510822510822,-0.021645021645021644
2007,MQ,255,21,24,-3,0.08235294117647059,0.09411764705882353,-0.011764705882352941
2008,MQ,276,33,24,9,0.11956521739130435,0.08695652173913043,0.03260869565217391
2009,MQ,300,38,24,14,0.12666666666666668,0.08,0.04666666666666667
2010,MQ,317,36,32,4,0.11356466876971609,0.10094637223974763,0.012618296529968454
2011,MQ,367,43,36,7,0.11716621253405994,0.09809264305177112,0.01907356948228883
2012,MQ,421,37,33,4,0.08788598574821853,0.07838479809976247,0.009501187648456057
2013,MQ,487,48,44,4,0.09856262833675565,0.09034907597535935,0.008213552361396304
2014,MQ,542,58,48,10,0.1070110701107011,0.08856088560885608,0.01845018450184502
2015,MQ,553,64,38,26,0.11573236889692586,0.06871609403254973,0.04701627486437613
2016,MQ,576,55,59,-4,0.0954861111111111,0.10243055555555555,-0.006944444444444444
2017,MQ,569,61,55,6,0.10720562390158173,0.09666080843585237,0.01054481546572935
2018,MQ,595,63,58,5,0.10588235294117647,0.09747899159663866,0.008403361344537815
2019,MQ,612,75,60,15,0.12254901960784313,0.09803921568627451,0.024509803921568627
2020,MQ,698,76,73,3,0.10888252148997135,0.10458452722063037,0.004297994269340974
2021,MQ,709,103,85,18,0.14527503526093088,0.11988716502115655,0.02538787023977433
2022,MQ,760,61,60,1,0.08026315789473684,0.07894736842105263,0.0013157894736842105
2023,MQ,796,67,66,1,0.08417085427135679,0.0829145728643216,0.001256281407035176
2024,MQ,647,86,61,25,0.13292117465224113,0.09428129829984544,0.03863987635239567
