year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
1999,CZ,14398,460,416,44,0.03194888178913738,0.028892901791915542,0.0030559799972218363
2000,CZ,15955,632,703,-71,0.0396114070824193,0.04406142275148856,-0.004450015669069257
2001,CZ,17443,843,827,16,0.04832884251562231,0.04741156911081809,0.0009172734048042195
2002,CZ,19177,837,1023,-186,0.04364603431193617,0.05334515304792199,-0.009699118735985817
2003,CZ,20598,894,1043,-149,0.043402272065249055,0.050635984076123894,-0.0072337120108748425
2004,CZ,22803,1069,1205,-136,0.04687979651800202,0.052843924045081786,-0.00596412752707977
2005,CZ,28388,1175,1361,-186,0.041390728476821195,0.047942792729322246,-0.006552064252501057
2006,CZ,30847,1501,1458,43,0.04865951308068856,0.04726553635685804,0.0013939767238305184
2007,CZ,32892,1545,1615,-70,0.04697190806275082,0.049100085127082575,-0.0021281770643317524
2008,CZ,31585,1751,1684,67,0.055437707772676904,0.05331644768086117,0.0021212600918157354
2009,CZ,34059,1799,1915,-116,0.052820106286150505,0.056225960832672714,-0.0034058545465222114
2010,CZ,36836,1871,1873,-2,0.050792702790748184,0.050846997502443265,-5.42947116950809e-05
2011,CZ,40001,1789,2021,-232,0.04472388190295243,0.050523736906577334,-0.005799855003624909
2012,CZ,44142,1985,2059,-74,0.04496851071541842,0.04664491867155997,-0.001676407956141543
2013,CZ,47584,2290,2242,48,0.04812542030934768,0.04711667787491594,0.0010087424344317419
2014,CZ,50567,2778,2470,308,0.054937014258310754,0.04884608539165859,0.006090928866652165
2015,CZ,51860,2936,2485,451,0.05661396066332434,0.04791747011183957,0.008696490551484767
2016,CZ,52460,2695,2804,-109,0.05137247426610751,0.0534502478078536,-0.002077773541746092
2017,CZ,53690,2812,2807,5,0.05237474390016763,0.05228161668839635,9.312721177127957e-05
2018,CZ,54995,2820,2937,-117,0.05127738885353214,0.053404854986816984,-0.0021274661332848443
2019,CZ,57421,3149,3178,-29,0.05484056355688685,0.05534560526636596,-0.0005050417094791105
2020,CZ,60228,3504,3370,134,0.0581789201036063,0.055954041309689846,0.002224878793916451
2021,CZ,62556,3414,3442,-28,0.054575100709764054,0.05502269966110365,-0.0004475989513395997
2022,CZ,64200,3174,3228,-54,0.0494392523364486,0.0502803738317757,-0.0008411214953271028
2023,CZ,67344,3732,3701,31,0.05541696364932288,0.05495664053219292,0.0004603231171299596
2024,CZ,55751,3977,3919,58,0.07133504331760865,0.0702947032340227,0.0010403400835859446
2025,CZ,39402,4911,4295,616,0.12463834323130805,0.10900461905487031,0.015633724176437745
1998,DE,198582,0,0,0,0.0,0.0,0.0
1999,DE,202534,4970,5397,-427,0.024539089733081852,0.026647377724233957,-0.002108287991152103
2000,DE,216271,7108,7549,-441,0.03286617253353431,0.03490528087445843,-0.0020391083409241183
2001,DE,227258,8300,8766,-466,0.03652236664935888,0.03857289952388915,-0.0020505328745302697
2002,DE,249559,9903,10332,-429,0.0396819990463177,0.04140103141942386,-0.0017190323731061594
2003,DE,261648,10489,10653,-164,0.0400882101143521,0.040715006420840215,-0.0006267963064881062
2004,DE,279552,11639,11498,141,0.0416344722985348,0.041130093864468864,0.0005043784340659341
2005,DE,289298,12387,12947,-560,0.04281744083954953,0.044753161100318704,-0.0019357202607691722
2006,DE,309724,13191,13972,-781,0.04258953132466325,0.0451111312006819,-0.002521599876018649
2007,DE,327295,13668,14738,-1070,0.041760491299897645,0.04502971325562566,-0.003269221955728013
2008,DE,344103,15691,16376,-685,0.04559971868888094,0.04759040171111557,-0.0019906830222346217
2009,DE,352286,16596,17320,-724,0.047109450843916593,0.04916459921768109,-0.002055148373764498
2010,DE,362379,17369,17550,-181,0.047930481622831346,0.04842995868965917,-0.0004994770668278239
2011,DE,375091,17564,18205,-641,0.04682597023122389,0.04853488886696828,-0.0017089186357443927
2012,DE,392418,18777,18714,63,0.04784948702658899,0.04768894393223552,0.00016054309435347002
2013,DE,408796,19149,20068,-919,0.046842434857483926,0.0490904999070441,-0.002248065049560172
2014,DE,422599,20252,20636,-384,0.0479224986334563,0.04883116145565891,-0.0009086628222026082
2015,DE,433385,21186,21257,-71,0.04888494064169272,0.04904876726236487,-0.00016382662067215064
2016,DE,444009,21671,21678,-7,0.04880756921593932,0.048823334662135225,-1.5765446195910443e-05
2017,DE,455088,22086,22275,-189,0.04853127307246071,0.04894657736525683,-0.00041530429279611853
2018,DE,470207,23373,22547,826,0.049707894608119405,0.04795122148330416,0.0017566731248152409
2019,DE,486178,23863,23407,456,0.04908284620036283,0.048144918116410036,0.000937928083952791
2020,DE,511017,24832,25450,-618,0.04859329533068372,0.04980264844418092,-0.0012093531134972026
2021,DE,528831,24962,24415,547,0.04720222528558273,0.04616786837382831,0.001034356911754417
2022,DE,543076,23689,22724,965,0.04362004581310903,0.041843130611553446,0.0017769152015555834
2023,DE,560327,26925,27043,-118,0.048052298033112804,0.04826288934854112,-0.0002105913154283124
2024,DE,458888,27629,27839,-210,0.06020859120308223,0.0606662192081728,-0.00045762800509056677
2025,DE,321467,29154,29591,-437,0.09069049078132436,0.09204988381389069,-0.0013593930325663287
1998,DJ,20,0,0,0,0.0,0.0,0.0
1999,DJ,36,0,1,-1,0.0,0.027777777777777776,-0.027777777777777776
2000,DJ,45,0,0,0,0.0,0.0,0.0
2001,DJ,50,0,0,0,0.0,0.0,0.0
2002,DJ,40,0,0,0,0.0,0.0,0.0
2003,DJ,40,3,1,2,0.075,0.025,0.05
2004,DJ,34,1,2,-1,0.029411764705882353,0.058823529411764705,-0.029411764705882353
2005,DJ,35,0,4,-4,0.0,0.11428571428571428,-0.11428571428571428
2006,DJ,45,0,0,0,0.0,0.0,0.0
2007,DJ,64,4,0,4,0.0625,0.0,0.0625
2008,DJ,73,3,2,1,0.0410958904109589,0.0273972602739726,0.0136986301369863
2009,DJ,70,2,2,0,0.02857142857142857,0.02857142857142857,0.0
2010,DJ,85,3,2,1,0.03529411764705882,0.023529411764705882,0.011764705882352941
2011,DJ,90,5,2,3,0.05555555555555555,0.022222222222222223,0.03333333333333333
2012,DJ,112,12,2,10,0.10714285714285714,0.017857142857142856,0.08928571428571429
2013,DJ,84,3,11,-8,0.03571428571428571,0.13095238095238096,-0.09523809523809523
2014,DJ,95,7,10,-3,0.07368421052631578,0.10526315789473684,-0.031578947368421054
2015,DJ,79,7,6,1,0.08860759493670886,0.0759493670886076,0.012658227848101266
2016,DJ,83,13,8,5,0.1566265060240964,0.0963855421686747,0.060240963855421686
2017,DJ,77,9,2,7,0.11688311688311688,0.025974025974025976,0.09090909090909091
2018,DJ,109,7,6,1,0.06422018348623854,0.05504587155963303,0.009174311926605505
2019,DJ,132,5,7,-2,0.03787878787878788,0.05303030303030303,-0.015151515151515152
2020,DJ,127,12,10,2,0.09448818897637795,0.07874015748031496,0.015748031496062992
2021,DJ,141,14,5,9,0.09929078014184398,0.03546099290780142,0.06382978723404255
2022,DJ,142,7,7,0,0.04929577464788732,0.04929577464788732,0.0
2023,DJ,156,12,9,3,0.07692307692307693,0.057692307692307696,0.019230769230769232
2024,DJ,122,5,14,-9,0.040983606557377046,0.11475409836065574,-0.07377049180327869
2025,DJ,76,15,16,-1,0.19736842105263158,0.21052631578947367,-0.013157894736842105
1998,DK,17872,0,0,0,0.0,0.0,0.0
1999,DK,18240,651,569,82,0.03569078947368421,0.03119517543859649,0.004495614035087719
2000,DK,19170,839,859,-20,0.04376630151278039,0.04480959833072509,-0.0010432968179447052
2001,DK,19954,1013,1063,-50,0.05076676355617921,0.05327252681166683,-0.0025057632554876213
2002,DK,21105,1173,1117,56,0.05557924662402274,0.0529258469556977,0.0026533996683250414
2003,DK,21922,1252,1250,2,0.05711157741082018,0.05702034485904571,9.123255177447313e-05
2004,DK,23419,1274,1313,-39,0.05440027328237756,0.05606558777061361,-0.0016653144882360477
2005,DK,25340,1444,1429,15,0.05698500394632992,0.056393054459352804,0.0005919494869771113
2006,DK,27805,1571,1593,-22,0.05650062938320446,0.057291853983096566,-0.0007912245998921057
2007,DK,31079,2137,1477,660,0.06876025612149683,0.04752405161041218,0.021236204511084655
2008,DK,33714,2210,1777,433,0.06555140297799134,0.05270807379723557,0.012843329180755769
2009,DK,36771,2221,1849,372,0.060400859372875364,0.05028419134644149,0.010116668026433875
2010,DK,38628,2334,2121,213,0.06042249145697422,0.05490835663249456,0.0055141348244796525
2011,DK,41353,2837,3218,-381,0.0686044543322129,0.07781781249244311,-0.009213358160230212
2012,DK,44294,3108,2954,154,0.070167517045198,0.0666907481825981,0.0034767688625999007
2013,DK,47370,3474,2982,492,0.07333755541481951,0.0629512349588347,0.010386320455984801
2014,DK,49079,3618,3199,419,0.07371788341245747,0.06518062715214247,0.008537256260315002
2015,DK,51448,3822,3370,452,0.07428860208365728,0.06550303218784015,0.008785569895817136
2016,DK,52900,3947,3667,280,0.0746124763705104,0.0693194706994329,0.005293005671077505
2017,DK,54823,4252,3700,552,0.07755868887145906,0.06748992211298178,0.01006876675847728
2018,DK,55714,4184,3791,393,0.07509782101446674,0.06804393868686506,0.00705388232760168
2019,DK,57487,4110,4010,100,0.07149442482648251,0.06975490110807661,0.0017395237184059005
2020,DK,61561,4512,3750,762,0.07329315638147528,0.060915189811731454,0.012377966569743831
2021,DK,64264,4380,3768,612,0.06815635503547865,0.05863313830449396,0.009523216730984689
2022,DK,66521,4350,3692,658,0.06539288345033899,0.05550127027555208,0.00989161317478691
2023,DK,67851,4718,4175,543,0.06953471577427009,0.061531886044420864,0.00800282972984923
2024,DK,56555,4495,4445,50,0.07948015206436213,0.07859605693572629,0.0008840951286358412
2025,DK,40999,4937,3993,944,0.1204175711602722,0.09739261933217884,0.023024951828093367
1998,DM,8,0,0,0,0.0,0.0,0.0
1999,DM,8,2,0,2,0.25,0.0,0.25
2000,DM,4,0,1,-1,0.0,0.25,-0.25
2001,DM,10,0,1,-1,0.0,0.1,-0.1
2002,DM,11,0,2,-2,0.0,0.18181818181818182,-0.18181818181818182
2003,DM,13,2,0,2,0.15384615384615385,0.0,0.15384615384615385
2004,DM,9,1,3,-2,0.1111111111111111,0.3333333333333333,-0.2222222222222222
2005,DM,13,0,1,-1,0.0,0.07692307692307693,-0.07692307692307693
2006,DM,18,2,1,1,0.1111111111111111,0.05555555555555555,0.05555555555555555
2007,DM,16,0,1,-1,0.0,0.0625,-0.0625
2008,DM,18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555
2009,DM,19,3,2,1,0.15789473684210525,0.10526315789473684,0.05263157894736842
2010,DM,27,5,4,1,0.18518518518518517,0.14814814814814814,0.037037037037037035
2011,DM,33,2,3,-1,0.06060606060606061,0.09090909090909091,-0.030303030303030304
2012,DM,42,9,4,5,0.21428571428571427,0.09523809523809523,0.11904761904761904
2013,DM,57,5,11,-6,0.08771929824561403,0.19298245614035087,-0.10526315789473684
2014,DM,82,4,2,2,0.04878048780487805,0.024390243902439025,0.024390243902439025
2015,DM,100,10,6,4,0.1,0.06,0.04
2016,DM,114,7,6,1,0.06140350877192982,0.05263157894736842,0.008771929824561403
2017,DM,104,10,11,-1,0.09615384615384616,0.10576923076923077,-0.009615384615384616
2018,DM,98,10,15,-5,0.10204081632653061,0.15306122448979592,-0.05102040816326531
2019,DM,92,5,17,-12,0.05434782608695652,0.18478260869565216,-0.13043478260869565
2020,DM,98,3,8,-5,0.030612244897959183,0.08163265306122448,-0.05102040816326531
2021,DM,131,10,10,0,0.07633587786259542,0.07633587786259542,0.0
2022,DM,111,6,15,-9,0.05405405405405406,0.13513513513513514,-0.08108108108108109
2023,DM,109,7,17,-10,0.06422018348623854,0.1559633027522936,-0.09174311926605505
2024,DM,64,7,14,-7,0.109375,0.21875,-0.109375
2025,DM,43,4,10,-6,0.09302325581395349,0.23255813953488372,-0.13953488372093023
1998,DO,205,0,0,0,0.0,0.0,0.0
1999,DO,191,8,15,-7,0.041884816753926704,0.07853403141361257,-0.03664921465968586
2000,DO,161,20,16,4,0.12422360248447205,0.09937888198757763,0.024844720496894408
2001,DO,201,19,17,2,0.0945273631840796,0.0845771144278607,0.009950248756218905
2002,DO,214,16,27,-11,0.07476635514018691,0.1261682242990654,-0.0514018691588785
2003,DO,273,17,19,-2,0.06227106227106227,0.0695970695970696,-0.007326007326007326
2004,DO,395,16,19,-3,0.04050632911392405,0.04810126582278481,-0.007594936708860759
2005,DO,423,23,15,8,0.054373522458628844,0.03546099290780142,0.018912529550827423
2006,DO,424,39,29,10,0.09198113207547169,0.06839622641509434,0.02358490566037736
2007,DO,293,31,41,-10,0.10580204778156997,0.13993174061433447,-0.034129692832764506
2008,DO,286,26,46,-20,0.09090909090909091,0.16083916083916083,-0.06993006993006994
2009,DO,301,22,30,-8,0.07308970099667775,0.09966777408637874,-0.026578073089700997
2010,DO,382,35,42,-7,0.09162303664921466,0.1099476439790576,-0.01832460732984293
2011,DO,471,31,32,-1,0.06581740976645435,0.06794055201698514,-0.0021231422505307855
2012,DO,673,59,52,7,0.08766716196136701,0.07726597325408618,0.010401188707280832
2013,DO,742,51,54,-3,0.06873315363881402,0.07277628032345014,-0.004043126684636119
2014,DO,790,95,67,28,0.12025316455696203,0.08481012658227848,0.035443037974683546
2015,DO,802,64,84,-20,0.0798004987531172,0.10473815461346633,-0.02493765586034913
2016,DO,1012,112,76,36,0.11067193675889328,0.07509881422924901,0.03557312252964427
2017,DO,1346,86,95,-9,0.0638930163447251,0.07057949479940565,-0.006686478454680535
2018,DO,1683,114,99,15,0.0677361853832442,0.058823529411764705,0.008912655971479501
2019,DO,2120,158,104,54,0.07452830188679245,0.04905660377358491,0.02547169811320755
2020,DO,2252,181,152,29,0.08037300177619894,0.0674955595026643,0.012877442273534635
2021,DO,2386,210,152,58,0.08801341156747695,0.06370494551550712,0.024308466051969825
2022,DO,2338,167,174,-7,0.07142857142857142,0.07442258340461934,-0.0029940119760479044
2023,DO,2663,197,215,-18,0.07397671798723245,0.08073601201652272,-0.006759294029290274
2024,DO,2014,197,184,13,0.09781529294935452,0.0913604766633565,0.006454816285998014
2025,DO,1365,323,194,129,0.23663003663003662,0.14212454212454212,0.0945054945054945
1998,DZ,1877,0,0,0,0.0,0.0,0.0
1999,DZ,2325,47,34,13,0.02021505376344086,0.014623655913978495,0.005591397849462366
2000,DZ,2910,57,60,-3,0.01958762886597938,0.020618556701030927,-0.0010309278350515464
2001,DZ,3520,135,67,68,0.03835227272727273,0.01903409090909091,0.019318181818181818
2002,DZ,4258,121,155,-34,0.02841709722874589,0.036402066697980275,-0.007984969469234382
2003,DZ,5024,150,153,-3,0.029856687898089172,0.030453821656050956,-0.0005971337579617834
2004,DZ,6017,189,198,-9,0.03141100216054512,0.03290676416819013,-0.0014957620076450058
2005,DZ,6824,186,205,-19,0.027256740914419694,0.03004103165298945,-0.002784290738569754
2006,DZ,8019,258,237,21,0.032173587729143284,0.02955480733258511,0.002618780396558174
2007,DZ,9110,276,350,-74,0.030296377607025245,0.038419319429198684,-0.008122941822173435
2008,DZ,10081,390,374,16,0.038686638230334296,0.03709949409780776,0.001587144132526535
2009,DZ,11628,427,413,14,0.03672170622635019,0.03551771585827313,0.0012039903680770554
2010,DZ,13956,464,386,78,0.03324734881054744,0.02765835482946403,0.005588993981083405
2011,DZ,17137,502,472,30,0.029293341891813037,0.02754274377078835,0.0017505981210246835
2012,DZ,20293,609,498,111,0.03001034839599862,0.02454048193958508,0.005469866456413542
2013,DZ,23723,701,538,163,0.029549382455844538,0.022678413354128905,0.006870969101715634
2014,DZ,26733,812,647,165,0.030374443571615607,0.024202296786742978,0.0061721467848726294
2015,DZ,30039,899,756,143,0.029927760577915376,0.02516728253270748,0.004760478045207897
2016,DZ,33901,930,824,106,0.027432819090882275,0.024306067667620425,0.0031267514232618506
2017,DZ,36458,955,817,138,0.026194525207087607,0.022409347742607933,0.0037851774644796755
2018,DZ,39156,1115,843,272,0.028475840228828278,0.0215292675452038,0.006946572683624476
2019,DZ,41349,1014,935,79,0.024522963070449103,0.02261239691407289,0.0019105661563762122
2020,DZ,43868,1099,990,109,0.0250524300173247,0.022567703109327986,0.0024847269079967173
2021,DZ,45626,1111,1073,38,0.024350151229562092,0.02351729277166528,0.0008328584578968133
2022,DZ,46310,1080,970,110,0.02332109695530123,0.020945800043187218,0.0023752969121140144
2023,DZ,50165,1158,1077,81,0.02308382338283664,0.021469151799063092,0.0016146715837735473
2024,DZ,39815,1264,1292,-28,0.031746829084515885,0.032450081627527314,-0.0007032525430114278
2025,DZ,25767,1369,1398,-29,0.053129972445375866,0.05425544300849924,-0.001125470563123375
1998,EC,458,0,0,0,0.0,0.0,0.0
1999,EC,476,12,16,-4,0.025210084033613446,0.03361344537815126,-0.008403361344537815
2000,EC,613,30,19,11,0.048939641109298535,0.03099510603588907,0.01794453507340946
2001,EC,727,40,34,6,0.055020632737276476,0.04676753782668501,0.008253094910591471
2002,EC,806,30,60,-30,0.03722084367245657,0.07444168734491315,-0.03722084367245657
2003,EC,910,55,61,-6,0.06043956043956044,0.06703296703296703,-0.006593406593406593
2004,EC,1150,67,62,5,0.058260869565217394,0.05391304347826087,0.004347826086956522
2005,EC,1390,73,82,-9,0.05251798561151079,0.058992805755395686,-0.006474820143884892
2006,EC,1651,113,84,29,0.06844336765596608,0.050878255602665054,0.01756511205330103
2007,EC,2099,122,111,11,0.05812291567413054,0.05288232491662696,0.005240590757503573
2008,EC,2551,106,121,-15,0.04155233241865935,0.047432379459035674,-0.005880047040376323
2009,EC,3034,169,139,30,0.05570204350692155,0.04581410678971654,0.00988793671720501
2010,EC,3460,175,178,-3,0.05057803468208093,0.051445086705202314,-0.0008670520231213873
2011,EC,4229,190,180,10,0.04492787893118941,0.042563253724284704,0.0023646252069047056
2012,EC,5647,233,173,60,0.0412608464671507,0.03063573578891447,0.010625110678236231
2013,EC,8438,372,239,133,0.04408627636880778,0.028324247452002845,0.01576202891680493
2014,EC,13198,520,339,181,0.0393999090771329,0.02568570995605395,0.01371419912107895
2015,EC,22050,863,420,443,0.03913832199546485,0.01904761904761905,0.020090702947845804
2016,EC,30865,1049,583,466,0.03398671634537502,0.018888708893568768,0.015098007451806252
2017,EC,38074,1463,725,738,0.038425172033408624,0.019041865840205913,0.01938330619320271
2018,EC,43651,1476,966,510,0.03381365833543332,0.0221300772032714,0.01168358113216192
2019,EC,48820,1562,1205,357,0.0319950839819746,0.024682507169192954,0.007312576812781647
2020,EC,54026,1679,1408,271,0.031077629289601304,0.026061525931958686,0.005016103357642616
2021,EC,59909,1728,1505,223,0.028843746348628754,0.025121434175165668,0.0037223121734630857
2022,EC,71056,1568,1513,55,0.02206710200405314,0.02129306462508444,0.0007740373789687007
2023,EC,86687,2574,1977,597,0.029693033557511506,0.022806187779021075,0.006886845778490431
2024,EC,69765,3204,2054,1150,0.045925607396258866,0.02944169712606608,0.01648391027019279
2025,EC,43018,3924,2595,1329,0.09121762982937374,0.06032358547584732,0.03089404435352643
1998,EE,2069,0,0,0,0.0,0.0,0.0
1999,EE,2178,43,40,3,0.019742883379247015,0.018365472910927456,0.0013774104683195593
2000,EE,2282,65,54,11,0.02848378615249781,0.02366345311130587,0.004820333041191937
2001,EE,2384,79,79,0,0.03313758389261745,0.03313758389261745,0.0
2002,EE,2695,112,77,35,0.04155844155844156,0.02857142857142857,0.012987012987012988
2003,EE,3000,112,108,4,0.037333333333333336,0.036,0.0013333333333333333
2004,EE,3443,149,112,37,0.04327621260528609,0.03252977054893988,0.010746442056346209
2005,EE,3927,185,125,60,0.04710975299210593,0.03183091418385536,0.015278838808250574
2006,EE,4208,210,146,64,0.04990494296577947,0.034695817490494295,0.015209125475285171
2007,EE,4604,230,168,62,0.04995655951346655,0.036490008688097306,0.013466550825369244
2008,EE,4821,226,218,8,0.046878241028832195,0.045218834266749636,0.0016594067620825555
2009,EE,5216,246,214,32,0.04716257668711656,0.04102760736196319,0.006134969325153374
2010,EE,5691,255,239,16,0.044807590933052185,0.041996134247056754,0.0028114566859954314
2011,EE,6284,295,216,79,0.04694462126034373,0.03437301082113304,0.012571610439210694
2012,EE,6839,315,243,72,0.04605936540429888,0.03553151045474485,0.010527854949554029
2013,EE,7173,370,311,59,0.05158232259863377,0.04335703331939216,0.0082252892792416
2014,EE,7278,357,359,-2,0.04905193734542457,0.04932673811486672,-0.0002748007694421544
2015,EE,7218,367,340,27,0.05084510944860072,0.04710446106954835,0.003740648379052369
2016,EE,7040,391,377,14,0.05553977272727273,0.05355113636363636,0.0019886363636363634
2017,EE,7246,390,366,24,0.05382279878553685,0.050510626552580734,0.0033121722329561135
2018,EE,7577,396,382,14,0.05226342879767718,0.050415731819981525,0.001847696977695658
2019,EE,8002,466,444,22,0.05823544113971507,0.05548612846788303,0.002749312671832042
2020,EE,8327,497,455,42,0.05968536087426444,0.05464152756094632,0.005043833313318122
2021,EE,8719,533,483,50,0.06113086363115036,0.05539626103910999,0.005734602592040372
2022,EE,9023,558,460,98,0.061841959436994345,0.05098082677601685,0.010861132660977503
2023,EE,9441,622,520,102,0.06588285139286093,0.05507891113229531,0.010803940260565617
2024,EE,7768,590,479,111,0.07595262615859938,0.06166323377960865,0.014289392378990731
2025,EE,5563,784,602,182,0.140931152255977,0.10821499191083947,0.03271616034513752
1998,EG,10407,0,0,0,0.0,0.0,0.0
1999,EG,11354,157,143,14,0.013827725911573014,0.012594680288884974,0.0012330456226880395
2000,EG,13456,224,202,22,0.016646848989298454,0.015011890606420927,0.0016349583828775267
2001,EG,14770,268,254,14,0.01814488828706838,0.017197020988490182,0.0009478672985781991
2002,EG,16080,371,339,32,0.023072139303482588,0.021082089552238805,0.001990049751243781
2003,EG,16752,453,424,29,0.027041547277936964,0.025310410697230182,0.0017311365807067814
2004,EG,18488,486,486,0,0.026287321505841628,0.026287321505841628,0.0
2005,EG,20763,542,594,-52,0.026104127534556664,0.02860858257477243,-0.0025044550402157683
2006,EG,22976,780,633,147,0.03394846796657382,0.02755048746518106,0.006397980501392757
2007,EG,25681,772,730,42,0.030061134691016705,0.028425684358085745,0.0016354503329309607
2008,EG,29613,958,868,90,0.032350656806132444,0.02931145105190288,0.0030392057542295613
2009,EG,34134,1096,1067,29,0.03210874787601805,0.03125915509462706,0.0008495927813909884
2010,EG,38803,1278,1294,-16,0.03293559776305956,0.03334793701517924,-0.0004123392521196815
2011,EG,45347,1496,1478,18,0.032990054468873355,0.03259311531082541,0.00039693915804794145
2012,EG,53080,1724,1663,61,0.03247927656367747,0.031330067822155236,0.0011492087415222306
2013,EG,61204,2089,1879,210,0.03413175609437292,0.030700607803411543,0.003431148290961375
2014,EG,70424,2256,2209,47,0.03203453368169942,0.031367147563330686,0.0006673861183687379
2015,EG,79832,2547,2382,165,0.03190449944884257,0.02983765908407656,0.0020668403647660085
2016,EG,91814,2976,2736,240,0.032413357440041826,0.029799377001328772,0.0026139804387130504
2017,EG,104221,3056,2859,197,0.029322305485458784,0.027432091421114746,0.0018902140643440382
2018,EG,118482,3523,3183,340,0.029734474434935265,0.02686484022889553,0.002869634206039736
2019,EG,131204,3818,3760,58,0.02909972256943386,0.028657662876131824,0.0004420596933020335
2020,EG,146424,4351,4113,238,0.02971507403157952,0.02808965743320767,0.0016254165983718516
2021,EG,155967,4535,4433,102,0.02907666365320869,0.02842267915648823,0.00065398449672046
2022,EG,162667,4296,4167,129,0.026409781947168143,0.02561675078534675,0.0007930311618213898
2023,EG,157027,5106,5340,-234,0.03251670094951824,0.0340068905347488,-0.0014901895852305655
2024,EG,119619,5426,6373,-947,0.04536068684740718,0.05327748936205787,-0.007916802514650682
2025,EG,72436,5879,7688,-1809,0.08116130101054723,0.10613507095919156,-0.02497376994864432
2019,EH,1,0,0,0,0.0,0.0,0.0
2020,EH,1,0,0,0,0.0,0.0,0.0
2021,EH,1,0,0,0,0.0,0.0,0.0
1998,ER,43,0,0,0,0.0,0.0,0.0
1999,ER,49,3,2,1,0.061224489795918366,0.04081632653061224,0.02040816326530612
2000,ER,66,2,0,2,0.030303030303030304,0.0,0.030303030303030304
2001,ER,77,2,1,1,0.025974025974025976,0.012987012987012988,0.012987012987012988
2002,ER,89,2,2,0,0.02247191011235955,0.02247191011235955,0.0
2003,ER,107,4,2,2,0.037383177570093455,0.018691588785046728,0.018691588785046728
2004,ER,130,1,3,-2,0.007692307692307693,0.023076923076923078,-0.015384615384615385
2005,ER,129,5,3,2,0.03875968992248062,0.023255813953488372,0.015503875968992248
2006,ER,111,5,7,-2,0.04504504504504504,0.06306306306306306,-0.018018018018018018
2007,ER,99,10,11,-1,0.10101010101010101,0.1111111111111111,-0.010101010101010102
2008,ER,137,4,8,-4,0.029197080291970802,0.058394160583941604,-0.029197080291970802
2009,ER,150,7,6,1,0.04666666666666667,0.04,0.006666666666666667
2010,ER,147,8,6,2,0.05442176870748299,0.04081632653061224,0.013605442176870748
2011,ER,126,6,10,-4,0.047619047619047616,0.07936507936507936,-0.031746031746031744
2012,ER,114,4,12,-8,0.03508771929824561,0.10526315789473684,-0.07017543859649122
2013,ER,127,8,10,-2,0.06299212598425197,0.07874015748031496,-0.015748031496062992
2014,ER,135,6,8,-2,0.044444444444444446,0.05925925925925926,-0.014814814814814815
2015,ER,228,6,9,-3,0.02631578947368421,0.039473684210526314,-0.013157894736842105
2016,ER,316,6,7,-1,0.0189873417721519,0.022151898734177215,-0.0031645569620253164
2017,ER,398,11,8,3,0.02763819095477387,0.020100502512562814,0.007537688442211055
2018,ER,417,10,12,-2,0.023980815347721823,0.02877697841726619,-0.004796163069544364
2019,ER,462,19,15,4,0.04112554112554113,0.032467532467532464,0.008658008658008658
2020,ER,468,19,27,-8,0.0405982905982906,0.057692307692307696,-0.017094017094017096
2021,ER,437,30,30,0,0.06864988558352403,0.06864988558352403,0.0
2022,ER,379,29,21,8,0.07651715039577836,0.055408970976253295,0.021108179419525065
2023,ER,308,19,28,-9,0.06168831168831169,0.09090909090909091,-0.02922077922077922
2024,ER,193,15,16,-1,0.07772020725388601,0.08290155440414508,-0.0051813471502590676
2025,ER,116,35,27,8,0.3017241379310345,0.23275862068965517,0.06896551724137931
1998,ES,89810,0,0,0,0.0,0.0,0.0
1999,ES,99994,1549,1663,-114,0.015490929455767346,0.016630997859871592,-0.0011400684041042463
2000,ES,111204,2345,2343,2,0.021087370957879215,0.021069385993309594,1.7984964569619797e-05
2001,ES,118274,3010,2827,183,0.025449380252633717,0.023902125572822428,0.0015472546798112857
2002,ES,127028,3433,3559,-126,0.02702553767673269,0.02801744497276191,-0.000991907296029222
2003,ES,135878,4010,3841,169,0.02951176790944818,0.02826800512224201,0.0012437627872061703
2004,ES,147079,4425,4282,143,0.030085872218331644,0.029113605613309855,0.000972266605021791
2005,ES,155301,4936,4817,119,0.03178343990058016,0.031017185980772823,0.0007662539198073419
2006,ES,165941,5597,5535,62,0.03372885543657083,0.03335522866561007,0.00037362677096076317
2007,ES,178641,6015,6148,-133,0.033670881824441196,0.03441539176336899,-0.0007445099389277938
2008,ES,192341,6875,6837,38,0.03574380917225137,0.03554624339064474,0.00019756578160662575
2009,ES,208933,7867,7643,224,0.037653218974503785,0.03658110494751906,0.0010721140269847273
2010,ES,223828,8356,8094,262,0.037332237253605446,0.0361616955876834,0.0011705416659220473
2011,ES,238442,9147,8963,184,0.03836153026731868,0.037589854136435695,0.000771676130882982
2012,ES,249734,9262,9975,-713,0.037087461058566314,0.03994249881874314,-0.002855037760176828
2013,ES,260385,9703,10820,-1117,0.03726405130863913,0.04155385294851854,-0.004289801639879409
2014,ES,270167,10005,11976,-1971,0.037032650175632106,0.04432813778144629,-0.007295487605814182
2015,ES,281089,10798,12893,-2095,0.03841487927311279,0.04586803467940759,-0.007453155406294804
2016,ES,290898,11490,13853,-2363,0.039498380875770886,0.04762150306980454,-0.008123122194033647
