year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2008,MN,499,116,121,-5,0.23246492985971945,0.24248496993987975,-0.01002004008016032
2009,MN,555,142,151,-9,0.25585585585585585,0.27207207207207207,-0.016216216216216217
2010,MN,676,205,152,53,0.3032544378698225,0.22485207100591717,0.07840236686390532
2011,MN,1059,308,214,94,0.29084041548630785,0.20207743153918792,0.08876298394711993
2012,MN,1168,383,297,86,0.3279109589041096,0.2542808219178082,0.07363013698630137
2013,MN,1612,399,358,41,0.24751861042183623,0.22208436724565755,0.02543424317617866
2014,MN,2088,526,435,91,0.25191570881226055,0.20833333333333334,0.0435823754789272
2015,MN,1506,447,475,-28,0.2968127490039841,0.3154050464807437,-0.01859229747675963
2016,MN,1169,305,363,-58,0.2609067579127459,0.3105218135158255,-0.04961505560307956
2017,MN,1221,286,385,-99,0.23423423423423423,0.3153153153153153,-0.08108108108108109
2018,MN,1669,345,366,-21,0.2067106051527861,0.21929298981426004,-0.012582384661473937
2019,MN,1804,350,364,-14,0.19401330376940132,0.2017738359201774,-0.007760532150776054
2020,MN,2098,431,464,-33,0.20543374642516682,0.22116301239275502,-0.01572926596758818
2021,MN,2436,440,451,-11,0.180623973727422,0.18513957307060755,-0.00451559934318555
2022,MN,2852,415,467,-52,0.14551192145862551,0.16374474053295932,-0.0182328190743338
2023,MN,2850,579,505,74,0.2031578947368421,0.17719298245614035,0.025964912280701753
2024,MN,3661,759,614,145,0.20732040426113083,0.16771373941546025,0.03960666484567058
2025,MN,4274,874,759,115,0.2044922788956481,0.17758540009358914,0.02690687880205896
1998,MO,31,0,0,0,0.0,0.0,0.0
1999,MO,32,1,3,-2,0.03125,0.09375,-0.0625
2000,MO,22,2,4,-2,0.09090909090909091,0.18181818181818182,-0.09090909090909091
2001,MO,35,6,4,2,0.17142857142857143,0.11428571428571428,0.05714285714285714
2002,MO,125,13,8,5,0.104,0.064,0.04
2003,MO,91,14,17,-3,0.15384615384615385,0.18681318681318682,-0.03296703296703297
2004,MO,128,29,7,22,0.2265625,0.0546875,0.171875
2005,MO,183,44,19,25,0.24043715846994534,0.10382513661202186,0.1366120218579235
2006,MO,274,71,28,43,0.2591240875912409,0.10218978102189781,0.15693430656934307
2007,MO,266,63,53,10,0.23684210526315788,0.19924812030075187,0.03759398496240601
2008,MO,345,82,59,23,0.23768115942028986,0.17101449275362318,0.06666666666666667
2009,MO,409,89,58,31,0.2176039119804401,0.14180929095354522,0.07579462102689487
2010,MO,540,136,70,66,0.2518518518518518,0.12962962962962962,0.12222222222222222
2011,MO,605,136,99,37,0.22479338842975208,0.16363636363636364,0.06115702479338843
2012,MO,708,180,108,72,0.2542372881355932,0.15254237288135594,0.1016949152542373
2013,MO,881,224,118,106,0.2542565266742338,0.13393870601589103,0.12031782065834279
2014,MO,983,278,172,106,0.28280773143438453,0.17497456765005087,0.10783316378433368
2015,MO,1149,364,208,156,0.3167972149695387,0.18102697998259357,0.13577023498694518
2016,MO,1263,349,248,101,0.276326207442597,0.19635787806809185,0.07996832937450514
2017,MO,1350,387,329,58,0.2866666666666667,0.2437037037037037,0.04296296296296296
