year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2017,CO,35675,3299,3197,102,0.09247372109320252,0.089614576033637,0.0028591450595655222
2018,CO,36964,3306,3475,-169,0.08943837247051185,0.09401038848609458,-0.0045720160155827295
2019,CO,39108,3587,3694,-107,0.09172036411987317,0.09445637721182366,-0.002736013091950496
2020,CO,44487,3983,4254,-271,0.08953177332703936,0.09562344055566795,-0.0060916672286285885
2021,CO,45747,4076,4434,-358,0.089098738715107,0.09692438848449078,-0.007825649769383785
2022,CO,43835,3413,3970,-557,0.07786015740846355,0.09056689859701152,-0.012706741188547964
2023,CO,45287,4859,5008,-149,0.10729348378121757,0.11058361119084947,-0.0032901274096319034
2024,CO,44922,4829,4946,-117,0.10749744000712345,0.11010195449890922,-0.002604514491785762
2025,CO,43878,4864,5511,-647,0.11085281918045489,0.12559824969232872,-0.014745430511873832
1998,CR,506,0,0,0,0.0,0.0,0.0
1999,CR,563,31,32,-1,0.055062166962699825,0.056838365896980464,-0.0017761989342806395
2000,CR,645,56,47,9,0.08682170542635659,0.07286821705426356,0.013953488372093023
2001,CR,759,68,83,-15,0.08959156785243742,0.10935441370223979,-0.019762845849802372
2002,CR,914,101,79,22,0.11050328227571116,0.08643326039387308,0.024070021881838075
2003,CR,864,110,99,11,0.12731481481481483,0.11458333333333333,0.01273148148148148
2004,CR,1012,103,131,-28,0.10177865612648221,0.12944664031620554,-0.02766798418972332
2005,CR,1070,145,126,19,0.13551401869158877,0.11775700934579439,0.017757009345794394
2006,CR,1215,165,158,7,0.13580246913580246,0.13004115226337448,0.005761316872427984
2007,CR,1380,205,188,17,0.14855072463768115,0.13623188405797101,0.012318840579710146
2008,CR,1302,187,230,-43,0.1436251920122888,0.17665130568356374,-0.03302611367127496
2009,CR,2013,278,233,45,0.1381023348236463,0.11574764033780427,0.022354694485842028
2010,CR,1755,268,286,-18,0.1527065527065527,0.16296296296296298,-0.010256410256410256
2011,CR,2599,342,322,20,0.13158907272027703,0.12389380530973451,0.007695267410542516
2012,CR,2239,295,328,-33,0.1317552478785172,0.14649397052255472,-0.014738722644037517
2013,CR,2679,390,403,-13,0.1455767077267637,0.1504292646509892,-0.0048525569242254575
2014,CR,3113,488,420,68,0.1567619659492451,0.13491808544812078,0.02184388050112432
2015,CR,3626,584,538,46,0.16105901820187535,0.14837286265857694,0.0126861555432984
2016,CR,3774,563,620,-57,0.14917859035506095,0.16428192898781135,-0.015103338632750398
2017,CR,3767,607,603,4,0.16113618263870455,0.1600743297053358,0.0010618529333687285
2018,CR,4061,621,650,-29,0.15291800049248955,0.1600590987441517,-0.007141098251662152
2019,CR,4806,761,618,143,0.1583437369954224,0.1285892634207241,0.029754473574698292
2020,CR,5427,784,762,22,0.14446287083103004,0.1404090657822001,0.004053805048829924
2021,CR,5194,734,827,-93,0.14131690412013861,0.15922217943781286,-0.01790527531767424
2022,CR,4737,579,623,-44,0.12222925902469918,0.13151783829427907,-0.009288579269579903
2023,CR,4403,609,721,-112,0.1383147853736089,0.16375198728139906,-0.025437201907790145
2024,CR,4499,656,664,-8,0.1458101800400089,0.1475883529673261,-0.0017781729273171815
2025,CR,5051,794,741,53,0.15719659473371608,0.14670362304494158,0.0104929716887745
1998,CU,1857,0,0,0,0.0,0.0,0.0
1999,CU,2150,77,92,-15,0.035813953488372095,0.04279069767441861,-0.0069767441860465115
2000,CU,2405,151,139,12,0.06278586278586279,0.0577962577962578,0.00498960498960499
2001,CU,2530,159,203,-44,0.06284584980237154,0.08023715415019762,-0.017391304347826087
2002,CU,2671,210,228,-18,0.07862223886184949,0.08536128790715088,-0.0067390490453013855
2003,CU,3113,277,323,-46,0.08898168968840348,0.1037584323803405,-0.014776742691937038
2004,CU,3190,294,355,-61,0.09216300940438872,0.11128526645768025,-0.019122257053291535
2005,CU,3798,369,406,-37,0.0971563981042654,0.10689836756187467,-0.009741969457609268
2006,CU,3860,354,444,-90,0.09170984455958549,0.11502590673575129,-0.023316062176165803
2007,CU,4547,454,550,-96,0.09984605234220365,0.12095887398284583,-0.021112821640642182
2008,CU,5225,577,517,60,0.11043062200956938,0.09894736842105263,0.011483253588516746
2009,CU,5922,582,692,-110,0.09827760891590678,0.11685241472475515,-0.018574805808848363
2010,CU,6842,690,717,-27,0.10084770534931306,0.1047939199064601,-0.003946214557147033
2011,CU,7571,728,734,-6,0.09615638621054022,0.09694888389908862,-0.0007924976885484084
2012,CU,8324,785,774,11,0.0943056222969726,0.09298414223930802,0.0013214800576645844
2013,CU,9388,899,929,-30,0.09576054537707712,0.09895611418832552,-0.0031955688112484024
2014,CU,9804,893,1161,-268,0.09108527131782945,0.11842105263157894,-0.02733578131374949
2015,CU,10751,967,1198,-231,0.0899451213840573,0.11143149474467491,-0.02148637336061762
2016,CU,10923,1123,1340,-217,0.10281058317312093,0.12267692026000183,-0.019866337086880893
2017,CU,11007,983,1409,-426,0.08930680476060689,0.1280094485327519,-0.038702643772144996
2018,CU,12214,1062,1476,-414,0.08694940232520058,0.12084493204519405,-0.03389552971999345
2019,CU,11392,1045,1539,-494,0.0917310393258427,0.13509480337078653,-0.04336376404494382
2020,CU,12574,1179,1467,-288,0.09376491172260219,0.11666931763957372,-0.02290440591697153
2021,CU,13973,1178,1483,-305,0.08430544621770558,0.10613325699563443,-0.021827810777928863
2022,CU,7410,813,1077,-264,0.1097165991902834,0.14534412955465587,-0.03562753036437247
2023,CU,6101,911,1212,-301,0.1493197836420259,0.19865595803966563,-0.04933617439763973
2024,CU,4517,682,1255,-573,0.15098516714633606,0.2778392738543281,-0.12685410670799202
2025,CU,4531,672,1241,-569,0.14831163098653719,0.27389097329507833,-0.12557934230854115
1998,CV,1,0,0,0,0.0,0.0,0.0
1999,CV,6,0,0,0,0.0,0.0,0.0
2000,CV,17,1,1,0,0.058823529411764705,0.058823529411764705,0.0
2001,CV,15,5,1,4,0.3333333333333333,0.06666666666666667,0.26666666666666666
2002,CV,10,1,6,-5,0.1,0.6,-0.5
2003,CV,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
2004,CV,15,0,2,-2,0.0,0.13333333333333333,-0.13333333333333333
2005,CV,14,1,5,-4,0.07142857142857142,0.35714285714285715,-0.2857142857142857
2006,CV,22,1,2,-1,0.045454545454545456,0.09090909090909091,-0.045454545454545456
2007,CV,20,2,1,1,0.1,0.05,0.05
2008,CV,38,6,2,4,0.15789473684210525,0.05263157894736842,0.10526315789473684
2009,CV,27,8,7,1,0.2962962962962963,0.25925925925925924,0.037037037037037035
2010,CV,28,10,7,3,0.35714285714285715,0.25,0.10714285714285714
2011,CV,24,2,11,-9,0.08333333333333333,0.4583333333333333,-0.375
2012,CV,41,3,8,-5,0.07317073170731707,0.1951219512195122,-0.12195121951219512
2013,CV,43,13,8,5,0.3023255813953488,0.18604651162790697,0.11627906976744186
2014,CV,55,11,10,1,0.2,0.18181818181818182,0.01818181818181818
2015,CV,52,11,16,-5,0.21153846153846154,0.3076923076923077,-0.09615384615384616
2016,CV,61,15,10,5,0.2459016393442623,0.16393442622950818,0.08196721311475409
2017,CV,57,16,10,6,0.2807017543859649,0.17543859649122806,0.10526315789473684
2018,CV,72,12,15,-3,0.16666666666666666,0.20833333333333334,-0.041666666666666664
2019,CV,79,12,12,0,0.1518987341772152,0.1518987341772152,0.0
2020,CV,90,19,17,2,0.2111111111111111,0.18888888888888888,0.022222222222222223
2021,CV,106,23,12,11,0.2169811320754717,0.11320754716981132,0.10377358490566038
2022,CV,104,25,30,-5,0.2403846153846154,0.28846153846153844,-0.04807692307692308
2023,CV,95,22,20,2,0.23157894736842105,0.21052631578947367,0.021052631578947368
2024,CV,121,29,19,10,0.2396694214876033,0.15702479338842976,0.08264462809917356
2025,CV,128,45,32,13,0.3515625,0.25,0.1015625
1998,CW,29,0,0,0,0.0,0.0,0.0
1999,CW,38,3,5,-2,0.07894736842105263,0.13157894736842105,-0.05263157894736842
2000,CW,29,8,7,1,0.27586206896551724,0.2413793103448276,0.034482758620689655
2001,CW,41,8,15,-7,0.1951219512195122,0.36585365853658536,-0.17073170731707318
2002,CW,20,4,9,-5,0.2,0.45,-0.25
2003,CW,27,9,6,3,0.3333333333333333,0.2222222222222222,0.1111111111111111
2004,CW,45,13,12,1,0.28888888888888886,0.26666666666666666,0.022222222222222223
2005,CW,20,8,13,-5,0.4,0.65,-0.25
2006,CW,31,13,18,-5,0.41935483870967744,0.5806451612903226,-0.16129032258064516
2007,CW,38,8,14,-6,0.21052631578947367,0.3684210526315789,-0.15789473684210525
2008,CW,44,21,11,10,0.4772727272727273,0.25,0.22727272727272727
2009,CW,49,14,10,4,0.2857142857142857,0.20408163265306123,0.08163265306122448
2010,CW,46,18,18,0,0.391304347826087,0.391304347826087,0.0
2011,CW,43,16,14,2,0.37209302325581395,0.32558139534883723,0.046511627906976744
2012,CW,47,17,17,0,0.3617021276595745,0.3617021276595745,0.0
2013,CW,63,17,17,0,0.2698412698412698,0.2698412698412698,0.0
2014,CW,50,23,23,0,0.46,0.46,0.0
2015,CW,76,35,24,11,0.4605263157894737,0.3157894736842105,0.14473684210526316
2016,CW,60,12,32,-20,0.2,0.5333333333333333,-0.3333333333333333
2017,CW,106,41,27,14,0.3867924528301887,0.25471698113207547,0.1320754716981132
2018,CW,96,16,31,-15,0.16666666666666666,0.3229166666666667,-0.15625
2019,CW,83,26,32,-6,0.3132530120481928,0.3855421686746988,-0.07228915662650602
2020,CW,85,20,27,-7,0.23529411764705882,0.3176470588235294,-0.08235294117647059
2021,CW,88,31,25,6,0.3522727272727273,0.2840909090909091,0.06818181818181818
2022,CW,123,27,23,4,0.21951219512195122,0.18699186991869918,0.032520325203252036
2023,CW,214,51,32,19,0.2383177570093458,0.14953271028037382,0.08878504672897196
2024,CW,166,43,34,9,0.25903614457831325,0.20481927710843373,0.05421686746987952
2025,CW,150,40,45,-5,0.26666666666666666,0.3,-0.03333333333333333
1998,CY,223,0,0,0,0.0,0.0,0.0
1999,CY,239,21,25,-4,0.08786610878661087,0.10460251046025104,-0.016736401673640166
2000,CY,283,36,24,12,0.127208480565371,0.08480565371024736,0.04240282685512368
2001,CY,305,36,24,12,0.1180327868852459,0.07868852459016394,0.03934426229508197
2002,CY,362,49,46,3,0.13535911602209943,0.1270718232044199,0.008287292817679558
2003,CY,386,64,49,15,0.16580310880829016,0.12694300518134716,0.038860103626943004
2004,CY,446,83,62,21,0.1860986547085202,0.13901345291479822,0.04708520179372197
2005,CY,617,113,59,54,0.18314424635332252,0.09562398703403566,0.08752025931928688
2006,CY,720,136,82,54,0.18888888888888888,0.11388888888888889,0.075
2007,CY,780,123,105,18,0.1576923076923077,0.1346153846153846,0.023076923076923078
2008,CY,949,171,109,62,0.18018967334035826,0.1148577449947313,0.06533192834562697
2009,CY,1104,180,138,42,0.16304347826086957,0.125,0.03804347826086957
2010,CY,1276,218,135,83,0.17084639498432602,0.10579937304075235,0.06504702194357367
2011,CY,1406,222,138,84,0.15789473684210525,0.09815078236130868,0.059743954480796585
2012,CY,1745,296,164,132,0.16962750716332378,0.09398280802292264,0.07564469914040114
2013,CY,2003,321,227,94,0.1602596105841238,0.11333000499251124,0.046929605591612585
2014,CY,2059,274,247,27,0.1330743079164643,0.11996114618746964,0.013113161728994658
2015,CY,2238,314,281,33,0.14030384271671134,0.1255585344057194,0.014745308310991957
2016,CY,2711,409,288,121,0.15086683880486906,0.10623386204352638,0.04463297676134268
2017,CY,3076,435,359,76,0.14141742522756828,0.11671001300390117,0.0247074122236671
2018,CY,3347,479,361,118,0.1431132357334927,0.10785778308933373,0.03525545264415895
2019,CY,3650,444,419,25,0.12164383561643835,0.1147945205479452,0.00684931506849315
2020,CY,4284,581,464,117,0.13562091503267973,0.10830999066293184,0.0273109243697479
2021,CY,4822,627,492,135,0.13002903359601825,0.10203235172127748,0.027996681874740772
2022,CY,5016,579,524,55,0.11543062200956938,0.10446570972886762,0.010964912280701754
2023,CY,5250,717,642,75,0.13657142857142857,0.12228571428571429,0.014285714285714285
2024,CY,5590,760,647,113,0.13595706618962433,0.11574239713774598,0.020214669051878353
2025,CY,6356,829,703,126,0.1304279421019509,0.1106041535556954,0.019823788546255508
1998,CZ,5969,0,0,0,0.0,0.0,0.0
1999,CZ,6352,460,416,44,0.07241813602015114,0.0654911838790932,0.0069269521410579345
2000,CZ,7306,632,703,-71,0.08650424308787298,0.09622228305502327,-0.009718039967150288
2001,CZ,7956,843,827,16,0.1059577677224736,0.10394670688788336,0.002011060834590246
2002,CZ,8844,837,1023,-186,0.094640434192673,0.11567164179104478,-0.02103120759837178
2003,CZ,9585,894,1043,-149,0.09327073552425665,0.10881585811163276,-0.01554512258737611
2004,CZ,10949,1069,1205,-136,0.09763448716777788,0.11005571285048862,-0.01242122568271075
2005,CZ,11637,1175,1361,-186,0.10097104064621466,0.11695454154850907,-0.015983500902294407
2006,CZ,13538,1501,1458,43,0.11087309794652091,0.10769685330181711,0.003176244644703797
2007,CZ,18143,1545,1615,-70,0.0851568097888993,0.08901504712561319,-0.0038582373367138842
2008,CZ,16088,1751,1684,67,0.10883888612630532,0.10467429139731477,0.004164594728990552
2009,CZ,17188,1799,1915,-116,0.10466604607865954,0.11141494065627182,-0.006748894577612288
2010,CZ,18542,1871,1873,-2,0.10090605112717074,0.10101391435659583,-0.00010786322942508899
2011,CZ,20327,1789,2021,-232,0.0880110198258474,0.09942441088207803,-0.01141339105623063
2012,CZ,22224,1985,2059,-74,0.08931785457163427,0.09264758819294457,-0.003329733621310295
2013,CZ,24281,2290,2242,48,0.09431242535315679,0.09233557102261027,0.001976854330546518
2014,CZ,27473,2778,2470,308,0.1011174607796746,0.08990645360899792,0.011211007170676664
2015,CZ,28841,2936,2485,451,0.10179952151451059,0.08616206095489061,0.015637460559619985
2016,CZ,29772,2695,2804,-109,0.09052129517667608,0.09418245331183663,-0.0036611581351605536
2017,CZ,30156,2812,2807,5,0.09324844143785647,0.09308263695450325,0.00016580448335322986
2018,CZ,30605,2820,2937,-117,0.09214180689429832,0.09596471164842346,-0.0038229047541251428
2019,CZ,32127,3149,3178,-29,0.09801724406262645,0.09891991160083419,-0.000902667538207738
2020,CZ,33154,3504,3370,134,0.10568860469324969,0.1016468601073777,0.0040417445858719914
2021,CZ,35284,3414,3442,-28,0.09675773721800249,0.09755129803877112,-0.0007935608207686203
2022,CZ,35869,3174,3228,-54,0.08848866709414815,0.08999414536229056,-0.0015054782681424071
2023,CZ,36266,3732,3701,31,0.10290630342469531,0.10205150829978492,0.0008547951249103844
2024,CZ,36882,3977,3919,58,0.10783037796214956,0.10625779513041592,0.001572582831733637
2025,CZ,39402,4911,4295,616,0.12463834323130805,0.10900461905487031,0.015633724176437745
1998,DE,99598,0,0,0,0.0,0.0,0.0
1999,DE,102531,4970,5397,-427,0.048473144707454334,0.05263773883020745,-0.004164594122753118
2000,DE,107267,7108,7549,-441,0.06626455480250217,0.07037579124987181,-0.004111236447369647
2001,DE,107225,8300,8766,-466,0.07740732105385871,0.0817533224527862,-0.004346001398927489
2002,DE,123635,9903,10332,-429,0.08009867755894366,0.0835685687709791,-0.0034698912120354267
2003,DE,126662,10489,10653,-164,0.08281094566641929,0.08410573021111305,-0.001294784544693752
2004,DE,139716,11639,11498,141,0.08330470382776489,0.08229551375647742,0.0010091900712874689
2005,DE,146115,12387,12947,-560,0.08477569038086438,0.0886082879923348,-0.003832597611470417
2006,DE,157078,13191,13972,-781,0.0839773870306472,0.0889494391321509,-0.004972052101503712
2007,DE,159850,13668,14738,-1070,0.08550516108852049,0.09219893650297153,-0.006693775414451048
2008,DE,178647,15691,16376,-685,0.08783242931591351,0.09166680660744372,-0.0038343772915302244
2009,DE,186316,16596,17320,-724,0.08907447562206144,0.0929603469374611,-0.0038858713153996434
2010,DE,190154,17369,17550,-181,0.09134175457786846,0.09229361464917908,-0.0009518600713106219
2011,DE,198241,17564,18205,-641,0.08859923022987172,0.09183266831785554,-0.0032334380879838177
2012,DE,211270,18777,18714,63,0.0888767927296824,0.0885785961092441,0.0002981966204383017
2013,DE,217399,19149,20068,-919,0.0880822818872212,0.09230953224255861,-0.004227250355337421
2014,DE,229254,20252,20636,-384,0.08833869856142096,0.09001369659853263,-0.0016749980371116753
2015,DE,236788,21186,21257,-71,0.08947243948173049,0.08977228575772421,-0.0002998462759937159
2016,DE,242054,21671,21678,-7,0.08952960909549108,0.08955852826228858,-2.891916679749147e-05
2017,DE,247611,22086,22275,-189,0.08919636042017519,0.08995965445800065,-0.0007632940378254601
2018,DE,258417,23373,22547,826,0.09044683592797688,0.08725045178916248,0.003196384138814397
2019,DE,266331,23863,23407,456,0.08959903278251499,0.08788687760718805,0.0017121551753269428
2020,DE,276964,24832,25450,-618,0.08965786167155299,0.09188919859620745,-0.0022313369246544676
2021,DE,290477,24962,24415,547,0.08593451460872978,0.08405140510264152,0.0018831095060882618
2022,DE,302584,23689,22724,965,0.0782890040451577,0.07509980699574333,0.0031891970494143775
2023,DE,300495,26925,27043,-118,0.08960215644187092,0.08999484184429025,-0.00039268540241934143
2024,DE,305489,27629,27839,-210,0.09044188170441489,0.09112930416479807,-0.000687422460383189
2025,DE,321467,29154,29591,-437,0.09069049078132436,0.09204988381389069,-0.0013593930325663287
1998,DJ,5,0,0,0,0.0,0.0,0.0
1999,DJ,1,0,1,-1,0.0,1.0,-1.0
2000,DJ,14,0,0,0,0.0,0.0,0.0
2001,DJ,22,0,0,0,0.0,0.0,0.0
2002,DJ,11,0,0,0,0.0,0.0,0.0
2003,DJ,19,3,1,2,0.15789473684210525,0.05263157894736842,0.10526315789473684
2004,DJ,13,1,2,-1,0.07692307692307693,0.15384615384615385,-0.07692307692307693
2005,DJ,10,0,4,-4,0.0,0.4,-0.4
2006,DJ,11,0,0,0,0.0,0.0,0.0
2007,DJ,15,4,0,4,0.26666666666666666,0.0,0.26666666666666666
2008,DJ,23,3,2,1,0.13043478260869565,0.08695652173913043,0.043478260869565216
2009,DJ,32,2,2,0,0.0625,0.0625,0.0
2010,DJ,24,3,2,1,0.125,0.08333333333333333,0.041666666666666664
2011,DJ,24,5,2,3,0.20833333333333334,0.08333333333333333,0.125
2012,DJ,51,12,2,10,0.23529411764705882,0.0392156862745098,0.19607843137254902
2013,DJ,35,3,11,-8,0.08571428571428572,0.3142857142857143,-0.22857142857142856
2014,DJ,44,7,10,-3,0.1590909090909091,0.22727272727272727,-0.06818181818181818
2015,DJ,22,7,6,1,0.3181818181818182,0.2727272727272727,0.045454545454545456
2016,DJ,48,13,8,5,0.2708333333333333,0.16666666666666666,0.10416666666666667
2017,DJ,30,9,2,7,0.3,0.06666666666666667,0.23333333333333334
2018,DJ,31,7,6,1,0.22580645161290322,0.1935483870967742,0.03225806451612903
2019,DJ,38,5,7,-2,0.13157894736842105,0.18421052631578946,-0.05263157894736842
2020,DJ,61,12,10,2,0.19672131147540983,0.16393442622950818,0.03278688524590164
2021,DJ,62,14,5,9,0.22580645161290322,0.08064516129032258,0.14516129032258066
2022,DJ,47,7,7,0,0.14893617021276595,0.14893617021276595,0.0
2023,DJ,70,12,9,3,0.17142857142857143,0.12857142857142856,0.04285714285714286
2024,DJ,84,5,14,-9,0.05952380952380952,0.16666666666666666,-0.10714285714285714
2025,DJ,76,15,16,-1,0.19736842105263158,0.21052631578947367,-0.013157894736842105
1998,DK,9087,0,0,0,0.0,0.0,0.0
1999,DK,9228,651,569,82,0.07054616384915474,0.06166016471608149,0.008885999133073256
2000,DK,9730,839,859,-20,0.08622816032887975,0.08828365878725591,-0.0020554984583761563
2001,DK,9863,1013,1063,-50,0.10270708709317652,0.1077765385785258,-0.005069451485349285
2002,DK,11026,1173,1117,56,0.10638490839833122,0.10130600399056774,0.005078904407763468
2003,DK,11410,1252,1250,2,0.10972830850131464,0.10955302366345311,0.00017528483786152498
2004,DK,11959,1274,1313,-39,0.10653064637511497,0.10979178861108789,-0.0032611422359729073
2005,DK,12783,1444,1429,15,0.11296252835797543,0.11178909489165298,0.0011734334663224596
2006,DK,14084,1571,1593,-22,0.11154501562056233,0.11310707185458677,-0.0015620562340244249
2007,DK,15596,2137,1477,660,0.1370223134136958,0.09470377019748653,0.04231854321620929
2008,DK,17515,2210,1777,433,0.12617756208963746,0.10145589494718812,0.02472166714244933
2009,DK,19233,2221,1849,372,0.1154786044818801,0.09613684812561743,0.019341756356262674
2010,DK,20262,2334,2121,213,0.11519099792715427,0.1046787089132366,0.010512289013917679
2011,DK,23085,2837,3218,-381,0.12289365388780593,0.13939787740957332,-0.01650422352176738
2012,DK,24789,3108,2954,154,0.12537819193997338,0.11916575900601073,0.006212432933962645
2013,DK,27161,3474,2982,492,0.12790397997128236,0.10978977209970178,0.018114207871580575
2014,DK,28556,3618,3199,419,0.12669841714525845,0.11202549376663398,0.014672923378624457
2015,DK,30219,3822,3370,452,0.12647671994440585,0.11151924286045203,0.014957477083953804
2016,DK,30937,3947,3667,280,0.12758185990884702,0.11853120858518926,0.009050651323657757
2017,DK,32614,4252,3700,552,0.13037345925062857,0.11344821242411235,0.01692524682651622
2018,DK,33071,4184,3791,393,0.1265156783889208,0.11463215506032476,0.011883523328596051
2019,DK,33901,4110,4010,100,0.1212353617887378,0.11828559629509454,0.002949765493643255
2020,DK,34787,4512,3750,762,0.12970362491735418,0.10779889039008825,0.021904734527265934
2021,DK,36702,4380,3768,612,0.11933954552885401,0.10266470492071277,0.016674840608141245
2022,DK,39410,4350,3692,658,0.11037807663029688,0.09368180664805886,0.01669626998223801
2023,DK,39594,4718,4175,543,0.1191594686063545,0.10544526948527555,0.01371419912107895
2024,DK,40023,4495,4445,50,0.11231042150763311,0.11106113984458936,0.0012492816630437498
2025,DK,40999,4937,3993,944,0.1204175711602722,0.09739261933217884,0.023024951828093367
1998,DM,5,0,0,0,0.0,0.0,0.0
1999,DM,4,2,0,2,0.5,0.0,0.5
2000,DM,1,0,1,-1,0.0,1.0,-1.0
2001,DM,3,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
2002,DM,1,0,2,-2,0.0,2.0,-2.0
2003,DM,8,2,0,2,0.25,0.0,0.25
2004,DM,3,1,3,-2,0.3333333333333333,1.0,-0.6666666666666666
2005,DM,3,0,1,-1,0.0,0.3333333333333333,-0.3333333333333333
2006,DM,4,2,1,1,0.5,0.25,0.25
2007,DM,8,0,1,-1,0.0,0.125,-0.125
2008,DM,10,3,2,1,0.3,0.2,0.1
2009,DM,5,3,2,1,0.6,0.4,0.2
2010,DM,11,5,4,1,0.45454545454545453,0.36363636363636365,0.09090909090909091
2011,DM,9,2,3,-1,0.2222222222222222,0.3333333333333333,-0.1111111111111111
2012,DM,17,9,4,5,0.5294117647058824,0.23529411764705882,0.29411764705882354
2013,DM,17,5,11,-6,0.29411764705882354,0.6470588235294118,-0.35294117647058826
2014,DM,15,4,2,2,0.26666666666666666,0.13333333333333333,0.13333333333333333
2015,DM,33,10,6,4,0.30303030303030304,0.18181818181818182,0.12121212121212122
2016,DM,46,7,6,1,0.15217391304347827,0.13043478260869565,0.021739130434782608
2017,DM,39,10,11,-1,0.2564102564102564,0.28205128205128205,-0.02564102564102564
2018,DM,52,10,15,-5,0.19230769230769232,0.28846153846153844,-0.09615384615384616
2019,DM,34,5,17,-12,0.14705882352941177,0.5,-0.35294117647058826
2020,DM,25,3,8,-5,0.12,0.32,-0.2
2021,DM,50,10,10,0,0.2,0.2,0.0
2022,DM,44,6,15,-9,0.13636363636363635,0.3409090909090909,-0.20454545454545456
2023,DM,56,7,17,-10,0.125,0.30357142857142855,-0.17857142857142858
2024,DM,24,7,14,-7,0.2916666666666667,0.5833333333333334,-0.2916666666666667
2025,DM,43,4,10,-6,0.09302325581395349,0.23255813953488372,-0.13953488372093023
1998,DO,95,0,0,0,0.0,0.0,0.0
1999,DO,90,8,15,-7,0.08888888888888889,0.16666666666666666,-0.07777777777777778
2000,DO,67,20,16,4,0.29850746268656714,0.23880597014925373,0.05970149253731343
2001,DO,81,19,17,2,0.2345679012345679,0.20987654320987653,0.024691358024691357
2002,DO,63,16,27,-11,0.25396825396825395,0.42857142857142855,-0.1746031746031746
2003,DO,109,17,19,-2,0.1559633027522936,0.1743119266055046,-0.01834862385321101
2004,DO,93,16,19,-3,0.17204301075268819,0.20430107526881722,-0.03225806451612903
2005,DO,120,23,15,8,0.19166666666666668,0.125,0.06666666666666667
2006,DO,236,39,29,10,0.1652542372881356,0.1228813559322034,0.0423728813559322
2007,DO,130,31,41,-10,0.23846153846153847,0.3153846153846154,-0.07692307692307693
2008,DO,118,26,46,-20,0.22033898305084745,0.3898305084745763,-0.1694915254237288
2009,DO,99,22,30,-8,0.2222222222222222,0.30303030303030304,-0.08080808080808081
2010,DO,139,35,42,-7,0.2517985611510791,0.302158273381295,-0.050359712230215826
2011,DO,132,31,32,-1,0.23484848484848486,0.24242424242424243,-0.007575757575757576
2012,DO,191,59,52,7,0.3089005235602094,0.27225130890052357,0.03664921465968586
2013,DO,252,51,54,-3,0.20238095238095238,0.21428571428571427,-0.011904761904761904
2014,DO,386,95,67,28,0.24611398963730569,0.17357512953367876,0.07253886010362694
2015,DO,274,64,84,-20,0.23357664233576642,0.30656934306569344,-0.072992700729927
2016,DO,344,112,76,36,0.32558139534883723,0.22093023255813954,0.10465116279069768
2017,DO,415,86,95,-9,0.20722891566265061,0.2289156626506024,-0.021686746987951807
2018,DO,493,114,99,15,0.23123732251521298,0.20081135902636918,0.030425963488843813
2019,DO,770,158,104,54,0.2051948051948052,0.13506493506493505,0.07012987012987013
2020,DO,882,181,152,29,0.20521541950113378,0.17233560090702948,0.032879818594104306
2021,DO,1023,210,152,58,0.20527859237536658,0.14858260019550343,0.056695992179863146
2022,DO,932,167,174,-7,0.1791845493562232,0.18669527896995708,-0.0075107296137339056
2023,DO,1017,197,215,-18,0.19370698131760078,0.21140609636184857,-0.017699115044247787
2024,DO,999,197,184,13,0.1971971971971972,0.1841841841841842,0.013013013013013013
2025,DO,1365,323,194,129,0.23663003663003662,0.14212454212454212,0.0945054945054945
1998,DZ,667,0,0,0,0.0,0.0,0.0
1999,DZ,775,47,34,13,0.06064516129032258,0.04387096774193548,0.016774193548387096
2000,DZ,886,57,60,-3,0.06433408577878104,0.06772009029345373,-0.003386004514672686
2001,DZ,1214,135,67,68,0.11120263591433278,0.05518945634266886,0.05601317957166392
2002,DZ,1495,121,155,-34,0.08093645484949832,0.10367892976588629,-0.02274247491638796
2003,DZ,1700,150,153,-3,0.08823529411764706,0.09,-0.0017647058823529412
2004,DZ,2287,189,198,-9,0.08264101442938347,0.08657630083078269,-0.003935286401399213
2005,DZ,2476,186,205,-19,0.07512116316639741,0.08279483037156704,-0.007673667205169628
2006,DZ,3060,258,237,21,0.08431372549019608,0.07745098039215687,0.006862745098039216
2007,DZ,3458,276,350,-74,0.07981492192018508,0.10121457489878542,-0.021399652978600348
2008,DZ,4206,390,374,16,0.09272467902995721,0.08892058963385639,0.0038040893961008085
2009,DZ,4735,427,413,14,0.09017951425554382,0.08722280887011616,0.0029567053854276664
2010,DZ,4914,464,386,78,0.09442409442409443,0.07855107855107855,0.015873015873015872
2011,DZ,6231,502,472,30,0.08056491734874018,0.07575028085379554,0.004814636494944632
2012,DZ,7758,609,498,111,0.07849961330239752,0.06419180201082754,0.014307811291569992
2013,DZ,9499,701,538,163,0.07379724181492789,0.05663754079376777,0.01715970102116012
2014,DZ,10962,812,647,165,0.07407407407407407,0.059022076263455577,0.0150519978106185
2015,DZ,12796,899,756,143,0.07025633010315724,0.05908096280087528,0.011175367302281964
2016,DZ,13596,930,824,106,0.06840247131509268,0.06060606060606061,0.0077964107090320684
2017,DZ,15482,955,817,138,0.06168453688153985,0.052770959824312104,0.008913577057227747
